#t x y z vx vy vz
0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.10 nan nan nan nan nan nan
0.20 nan nan nan nan nan nan
0.30 nan nan nan nan nan nan
0.40 nan nan nan nan nan nan
0.50 nan nan nan nan nan nan
0.60 nan nan nan nan nan nan
0.70 nan nan nan nan nan nan
0.80 nan nan nan nan nan nan
0.90 nan nan nan nan nan nan
1.00 nan nan nan nan nan nan
1.10 nan nan nan nan nan nan
1.20 nan nan nan nan nan nan
1.30 nan nan nan nan nan nan
1.40 nan nan nan nan nan nan
1.50 nan nan nan nan nan nan
1.60 nan nan nan nan nan nan
1.70 nan nan nan nan nan nan
1.80 nan nan nan nan nan nan
1.90 nan nan nan nan nan nan
2.00 nan nan nan nan nan nan
2.10 nan nan nan nan nan nan
2.20 nan nan nan nan nan nan
2.30 nan nan nan nan nan nan
2.40 nan nan nan nan nan nan
2.50 nan nan nan nan nan nan
2.60 nan nan nan nan nan nan
2.70 nan nan nan nan nan nan
2.80 nan nan nan nan nan nan
2.90 nan nan nan nan nan nan
3.00 nan nan nan nan nan nan
3.10 nan nan nan nan nan nan
3.20 nan nan nan nan nan nan
3.30 nan nan nan nan nan nan
3.40 nan nan nan nan nan nan
3.50 nan nan nan nan nan nan
3.60 nan nan nan nan nan nan
3.70 nan nan nan nan nan nan
3.80 nan nan nan nan nan nan
3.90 nan nan nan nan nan nan
4.00 nan nan nan nan nan nan
4.10 nan nan nan nan nan nan
4.20 nan nan nan nan nan nan
4.30 nan nan nan nan nan nan
4.40 nan nan nan nan nan nan
4.50 nan nan nan nan nan nan
4.60 nan nan nan nan nan nan
4.70 nan nan nan nan nan nan
4.80 nan nan nan nan nan nan
4.90 nan nan nan nan nan nan
5.00 nan nan nan nan nan nan
5.10 nan nan nan nan nan nan
5.20 nan nan nan nan nan nan
5.30 nan nan nan nan nan nan
5.40 nan nan nan nan nan nan
5.50 nan nan nan nan nan nan
5.60 nan nan nan nan nan nan
5.70 nan nan nan nan nan nan
5.80 nan nan nan nan nan nan
5.90 nan nan nan nan nan nan
6.00 nan nan nan nan nan nan
6.10 nan nan nan nan nan nan
6.20 nan nan nan nan nan nan
6.30 nan nan nan nan nan nan
6.40 nan nan nan nan nan nan
6.50 nan nan nan nan nan nan
6.60 nan nan nan nan nan nan
6.70 nan nan nan nan nan nan
6.80 nan nan nan nan nan nan
6.90 nan nan nan nan nan nan
7.00 nan nan nan nan nan nan
7.10 nan nan nan nan nan nan
7.20 nan nan nan nan nan nan
7.30 nan nan nan nan nan nan
7.40 nan nan nan nan nan nan
7.50 nan nan nan nan nan nan
7.60 nan nan nan nan nan nan
7.70 nan nan nan nan nan nan
7.80 nan nan nan nan nan nan
7.90 nan nan nan nan nan nan
8.00 nan nan nan nan nan nan
8.10 nan nan nan nan nan nan
8.20 nan nan nan nan nan nan
8.30 nan nan nan nan nan nan
8.40 nan nan nan nan nan nan
8.50 nan nan nan nan nan nan
8.60 nan nan nan nan nan nan
8.70 nan nan nan nan nan nan
8.80 nan nan nan nan nan nan
8.90 nan nan nan nan nan nan
9.00 nan nan nan nan nan nan
9.10 nan nan nan nan nan nan
9.20 nan nan nan nan nan nan
9.30 nan nan nan nan nan nan
9.40 nan nan nan nan nan nan
9.50 nan nan nan nan nan nan
9.60 nan nan nan nan nan nan
9.70 nan nan nan nan nan nan
9.80 nan nan nan nan nan nan
9.90 nan nan nan nan nan nan
10.00 nan nan nan nan nan nan
10.10 nan nan nan nan nan nan
