#t x y z vx vy vz
0.00 -1.79 2.87 -1.44 -0.33 3.85 -0.43
71428.60 -1.83 2.96 -1.47 -1.48 7.99 -0.37
142857.00 -1.84 3.09 -1.55 -3.64 8.99 -0.92
214286.00 -2.20 3.37 -1.59 -3.00 7.97 0.07
285714.00 -2.48 3.67 -1.57 -4.61 8.18 -0.19
357143.00 -2.78 4.09 -1.53 -6.70 7.61 0.60
428571.00 -3.26 4.72 -1.63 -9.03 12.64 -2.31
500000.00 -3.59 5.49 -1.82 -4.79 10.83 -2.80
571429.00 -3.81 6.12 -2.00 -3.17 7.08 -1.93
642857.00 -3.92 6.60 -2.16 -5.14 4.29 -1.80
714286.00 -4.18 7.07 -2.22 -7.67 6.16 -0.90
785714.00 -4.58 7.70 -2.53 -8.09 9.67 -6.52
857143.00 -5.10 8.38 -3.16 -9.74 6.74 -9.65
928571.00 -5.98 9.20 -3.70 -11.51 11.03 -9.23
1000000.00 -6.78 10.16 -4.30 -6.30 10.87 -7.73
1071430.00 -7.06 11.03 -4.85 -4.12 10.97 -8.51
1142860.00 -7.43 12.22 -5.65 -4.59 16.71 -10.64
1214290.00 -7.73 13.33 -6.44 -7.60 14.39 -11.16
1285710.00 -8.32 14.38 -7.18 -9.51 15.17 -10.93
1357140.00 -9.11 15.56 -7.95 -12.04 17.60 -11.25
1428570.00 -10.03 16.81 -8.87 -11.96 14.48 -13.51
1500000.00 -10.92 18.13 -9.89 -13.60 22.39 -14.83
1571430.00 -11.61 19.83 -10.91 -10.88 24.16 -15.71
1642860.00 -12.24 21.50 -11.82 -13.90 25.60 -12.70
1714290.00 -13.17 23.33 -12.76 -12.01 26.98 -14.23
1785710.00 -14.14 25.09 -13.78 -14.57 24.95 -15.65
1857140.00 -15.27 27.00 -14.87 -18.52 27.35 -15.17
1928570.00 -16.64 29.20 -15.81 -24.52 29.78 -15.04
2000000.00 -18.27 31.71 -16.93 -22.47 35.00 -15.28
2071430.00 -19.80 34.27 -18.06 -22.15 39.64 -16.56
2142860.00 -21.30 37.21 -19.24 -17.39 40.43 -15.53
2214290.00 -22.59 40.06 -20.46 -18.84 38.90 -19.07
2285710.00 -24.15 42.95 -21.86 -23.28 38.50 -19.20
2357140.00 -25.95 45.93 -23.15 -24.67 44.05 -19.26
2428570.00 -27.65 49.07 -24.49 -24.02 44.06 -19.48
2500000.00 -29.43 52.22 -25.90 -24.55 49.92 -20.18
2571430.00 -31.22 55.89 -27.41 -25.13 54.78 -21.95
2642860.00 -33.12 59.79 -28.79 -25.96 54.42 -19.37
2714290.00 -34.96 63.72 -30.28 -26.41 55.52 -22.13
2785710.00 -36.91 67.80 -31.91 -28.10 58.17 -24.09
2857140.00 -38.94 72.01 -33.61 -31.83 63.13 -23.87
2928570.00 -41.09 76.54 -35.40 -31.62 66.01 -27.92
3000000.00 -43.20 81.49 -37.46 -31.73 72.84 -28.36
3071430.00 -45.22 86.95 -39.46 -34.12 79.66 -28.07
3142860.00 -47.46 92.91 -41.52 -34.65 81.47 -30.33
3214290.00 -49.77 99.09 -43.71 -36.88 83.41 -30.25
3285710.00 -52.41 105.53 -45.73 -39.90 89.38 -30.46
3357140.00 -55.31 112.38 -47.93 -43.19 96.93 -31.60
3428570.00 -58.50 120.03 -50.16 -42.63 110.45 -30.47
3500000.00 -61.61 128.41 -52.30 -39.98 120.36 -30.21
3571430.00 -64.79 137.51 -54.38 -42.04 132.82 -28.11
3642860.00 -67.92 147.62 -56.33 -43.03 149.36 -27.66
3714290.00 -71.00 159.04 -58.08 -42.80 171.40 -21.09
3785710.00 -74.03 171.93 -59.23 -43.33 191.80 -10.85
3857140.00 -77.11 186.68 -59.36 -36.46 227.77 10.36
3928570.00 -78.79 204.30 -57.23 -5.65 264.88 57.14
4000000.00 -76.82 223.05 -50.40 57.23 245.61 129.52
4071430.00 -71.10 238.30 -40.15 91.24 182.42 148.37
4142860.00 -64.54 249.32 -30.14 84.74 125.31 128.88
4214290.00 -58.73 257.02 -21.86 74.75 89.23 103.57
4285710.00 -53.73 262.48 -15.12 67.37 65.38 86.12
4357140.00 -49.22 266.33 -9.66 62.96 45.05 70.86
4428570.00 -44.78 268.84 -4.98 61.82 26.40 62.79
4500000.00 -40.63 270.12 -0.92 58.66 8.83 52.72
4571430.00 -36.47 270.26 2.75 53.52 -5.99 49.88
4642860.00 -32.60 269.42 6.15 51.92 -17.43 43.33
