# R   Bulge
0.50 84042000.0000
1.00 1003501500.0000
1.50 3761880000.0000
2.00 5114556000.0000
2.50 5822910000.0000
3.00 6328162500.0000
3.50 6692344500.0000
4.00 6979488000.0000
4.50 7187592000.0000
5.00 7360678500.0000
5.50 7525761000.0000
6.00 7684840500.0000
6.50 7838917500.0000
7.00 7978987500.0000
7.50 8105050500.0000
8.00 8209102500.0000
8.50 8316156000.0000
9.00 8405200500.0000
9.50 8485240500.0000
10.00 8582289000.0000
10.50 8650323000.0000
11.00 8724360000.0000
11.50 8799397500.0000
12.00 8867431500.0000
12.50 8919457500.0000
13.00 8968482000.0000
13.50 9015505500.0000
14.00 9065530500.0000
14.50 9109552500.0000
15.00 9142569000.0000
15.50 9181588500.0000
16.00 9219607500.0000
16.50 9242619000.0000
17.00 9271633500.0000
17.50 9292644000.0000
18.00 9322659000.0000
18.50 9342669000.0000
19.00 9364680000.0000
19.50 9378687000.0000
20.00 9395695500.0000
20.50 9414705000.0000
21.00 9429712500.0000
21.50 9442719000.0000
22.00 9449722500.0000
22.50 9468732000.0000
23.00 9485740500.0000
23.50 9494745000.0000
24.00 9507751500.0000
24.50 9525760500.0000
25.00 9537766500.0000
25.50 9545770500.0000
26.00 9554775000.0000
26.50 9563779500.0000
27.00 9572784000.0000
27.50 9583789500.0000
28.00 9590793000.0000
28.50 9599797500.0000
29.00 9606801000.0000
29.50 9611803500.0000
