#t x y z vx vy vz
0.00 -1.38 2.51 -1.45 -1.38 2.95 -0.43
71428.60 -1.41 2.67 -1.48 -2.38 6.96 -0.35
142857.00 -1.63 2.90 -1.57 -4.21 8.40 -0.92
214286.00 -2.21 3.36 -1.60 -3.05 7.98 0.07
285714.00 -2.46 3.79 -1.61 -4.32 8.16 -0.19
357143.00 -2.63 4.36 -1.57 -6.05 7.14 0.60
428571.00 -3.15 4.76 -1.65 -8.93 12.33 -2.31
500000.00 -3.46 5.59 -1.82 -4.55 10.46 -2.79
571429.00 -3.68 6.12 -2.04 -3.21 6.68 -1.92
642857.00 -3.92 6.57 -2.20 -5.26 4.26 -1.81
714286.00 -4.46 7.15 -2.29 -7.49 6.91 -0.90
785714.00 -4.70 7.92 -2.54 -7.52 9.94 -6.51
857143.00 -5.15 8.65 -3.11 -9.07 6.82 -9.64
928571.00 -5.92 9.51 -3.69 -10.66 10.84 -9.23
1000000.00 -6.57 10.25 -4.30 -6.10 10.33 -7.74
1071430.00 -7.01 11.07 -4.87 -4.01 10.87 -8.51
1142860.00 -7.48 12.06 -5.62 -5.04 16.88 -10.64
1214290.00 -8.08 13.19 -6.40 -8.10 15.29 -11.18
1285710.00 -8.68 14.52 -7.15 -9.21 16.22 -10.91
1357140.00 -9.25 15.87 -7.94 -11.28 18.14 -11.24
1428570.00 -9.93 17.08 -8.83 -11.09 14.20 -13.49
1500000.00 -10.69 18.32 -9.81 -12.99 21.78 -14.82
1571430.00 -11.50 19.72 -10.85 -11.21 23.82 -15.70
1642860.00 -12.40 21.41 -11.80 -14.11 26.08 -12.71
1714290.00 -13.34 23.29 -12.74 -12.05 27.31 -14.22
1785710.00 -14.36 25.29 -13.75 -14.03 25.61 -15.66
1857140.00 -15.36 27.23 -14.82 -17.94 27.65 -15.17
1928570.00 -16.62 29.30 -15.78 -24.18 29.68 -15.03
2000000.00 -18.26 31.62 -16.88 -22.65 35.02 -15.28
2071430.00 -19.76 34.21 -17.99 -22.33 39.56 -16.57
2142860.00 -21.28 37.04 -19.18 -17.88 40.38 -15.55
2214290.00 -22.65 39.93 -20.44 -19.27 39.09 -19.06
2285710.00 -24.29 42.83 -21.83 -23.49 38.86 -19.20
2357140.00 -25.92 45.87 -23.15 -24.86 43.96 -19.27
2428570.00 -27.65 49.11 -24.49 -23.91 44.05 -19.48
2500000.00 -29.41 52.18 -25.89 -24.62 49.84 -20.18
2571430.00 -31.11 55.98 -27.36 -24.87 54.52 -21.94
2642860.00 -32.90 59.81 -28.79 -25.88 53.79 -19.36
2714290.00 -34.90 63.66 -30.29 -26.61 55.37 -22.13
2785710.00 -36.92 67.78 -31.90 -28.15 58.25 -24.09
2857140.00 -39.09 72.12 -33.61 -31.55 63.66 -23.87
2928570.00 -41.24 76.88 -35.40 -30.65 66.50 -27.93
3000000.00 -43.31 81.84 -37.42 -30.86 73.13 -28.38
3071430.00 -45.44 87.20 -39.46 -33.42 80.38 -28.07
3142860.00 -47.69 93.04 -41.51 -34.33 82.25 -30.32
3214290.00 -50.05 99.15 -43.67 -36.64 84.18 -30.28
3285710.00 -52.75 105.41 -45.74 -40.22 90.23 -30.48
3357140.00 -55.56 112.31 -47.92 -43.39 97.63 -31.61
3428570.00 -58.70 119.90 -50.12 -42.95 110.98 -30.48
3500000.00 -61.70 128.24 -52.27 -40.49 120.64 -30.22
3571430.00 -64.63 137.40 -54.37 -42.30 132.56 -28.11
3642860.00 -67.81 147.40 -56.32 -43.68 149.01 -27.65
3714290.00 -70.89 158.79 -58.08 -43.38 171.05 -21.10
3785710.00 -73.96 171.81 -59.24 -43.63 191.52 -10.85
3857140.00 -77.04 186.71 -59.39 -36.40 227.61 10.37
3928570.00 -78.61 204.40 -57.23 -5.53 264.53 57.20
4000000.00 -76.78 223.09 -50.34 57.26 245.46 129.54
4071430.00 -71.18 238.44 -40.12 91.71 182.80 148.36
4142860.00 -64.92 249.44 -30.17 84.85 125.80 128.77
4214290.00 -58.92 257.26 -21.90 74.95 89.44 103.55
4285710.00 -53.82 262.55 -15.17 67.49 65.60 86.09
4357140.00 -49.14 266.37 -9.70 63.07 44.88 70.92
4428570.00 -44.63 268.83 -5.01 61.68 26.04 62.86
4500000.00 -40.40 270.11 -0.92 58.57 8.50 52.79
4571430.00 -36.39 270.19 2.73 53.29 -6.08 49.85
4642860.00 -32.52 269.37 6.14 51.85 -17.51 43.33
4714290.00 -28.94 267.80 9.11 52.06 -28.72 37.67
4785710.00 -25.41 265.39 11.67 50.89 -40.09 32.73
4857140.00 -21.88 262.11 14.00 49.72 -51.22 29.93
4928570.00 -18.54 258.18 16.08 44.86 -60.43 25.90
5000000.00 -15.49 253.51 17.79 42.87 -70.80 21.37
5071430.00 -12.64 248.11 19.09 36.99 -80.08 14.60
5142860.00 -9.85 242.11 19.91 36.85 -88.50 5.16
5214290.00 -7.41 235.55 19.96 29.93 -92.83 -6.11
5285710.00 -5.13 228.93 18.96 32.28 -89.50 -19.83
5357140.00 -2.72 222.39 17.43 36.91 -89.57 -23.52
5428570.00 -0.19 215.53 15.88 37.32 -98.96 -21.08
5500000.00 2.32 207.90 14.41 35.77 -113.13 -18.35
5571430.00 4.72 199.28 13.12 32.34 -129.95 -15.76
5642860.00 6.73 189.10 11.69 24.22 -151.51 -20.35
5714290.00 7.98 177.41 9.81 10.91 -174.89 -32.40
5785710.00 8.14 163.17 6.92 -11.86 -222.75 -49.68
5857140.00 4.22 144.62 1.56 -171.70 -232.80 -87.65
5928570.00 -4.43 135.21 -0.78 -81.19 -73.05 -13.94
6000000.00 -6.94 132.12 -0.14 24.73 -35.43 24.11
6071430.00 -5.02 131.69 2.05 78.95 -0.04 48.38
6142860.00 0.17 133.57 5.15 125.47 42.32 72.76
6214290.00 8.39 138.40 9.76 192.18 137.00 118.53
6285710.00 15.65 143.16 16.03 27.02 -55.43 1.52
6357140.00 19.34 140.72 18.84 41.29 -48.46 21.91
6428570.00 23.73 138.45 21.74 40.93 -26.51 16.78
6500000.00 26.96 136.65 24.38 39.82 -20.06 19.76
6571430.00 30.43 134.46 26.47 40.14 -30.65 20.79
6642860.00 33.99 132.33 28.26 38.94 -22.50 34.31
6714290.00 37.61 130.12 30.93 37.44 -25.79 34.20
6785710.00 41.05 127.72 33.45 43.02 -27.72 40.81
6857140.00 43.76 125.40 35.56 40.62 -31.24 29.02
6928570.00 46.56 122.80 37.42 42.04 -31.27 24.10
7000000.00 49.35 120.63 39.07 37.41 -28.81 22.49
7071430.00 52.41 119.02 40.69 37.99 -23.27 30.24
7142860.00 55.19 117.37 42.45 33.09 -21.48 20.97
7214290.00 57.67 115.68 43.76 36.47 -24.66 22.23
7285710.00 60.28 114.02 45.35 32.32 -27.29 21.49
7357140.00 62.79 112.07 47.03 30.53 -26.07 22.82
7428570.00 65.25 110.38 48.92 30.32 -24.02 26.97
7500000.00 67.53 108.65 50.73 29.54 -25.22 24.57
7571430.00 69.58 106.59 52.53 28.10 -27.91 23.54
7642860.00 71.50 104.59 54.10 30.75 -25.53 30.24
7714290.00 73.66 102.95 55.84 28.06 -21.79 25.60
7785710.00 75.39 101.25 57.13 28.62 -20.98 18.81
7857140.00 77.24 100.24 58.19 30.18 -16.83 18.87
7928570.00 79.47 99.19 59.30 32.89 -20.18 18.24
8000000.00 81.75 97.90 60.60 36.40 -16.89 21.71
8071430.00 84.30 96.97 62.22 37.31 -17.41 23.04
8142860.00 86.81 96.00 63.65 37.95 -19.80 22.98
8214290.00 89.55 94.64 65.77 37.72 -17.15 29.70
8285710.00 92.54 93.44 68.23 40.83 -17.01 35.23
8357140.00 95.11 92.29 70.42 40.44 -23.28 38.95
8428570.00 98.03 90.60 73.02 37.80 -23.00 37.16
8500000.00 100.45 89.10 75.07 34.60 -25.19 32.60
8571430.00 103.05 87.31 77.27 32.65 -24.99 26.25
8642860.00 105.45 85.65 79.17 32.71 -25.73 26.81
8714290.00 108.07 83.72 81.02 31.62 -25.69 20.14
8785710.00 110.13 81.87 82.60 27.10 -27.65 14.56
8857140.00 112.28 79.91 84.12 33.22 -26.00 18.94
8928570.00 114.64 77.94 85.77 32.95 -26.05 22.00
9000000.00 116.98 76.18 87.34 31.14 -24.30 20.36
9071430.00 118.92 74.07 88.66 29.27 -24.38 20.20
9142860.00 121.17 72.42 90.18 30.68 -27.82 19.34
9214290.00 122.49 69.87 91.30 31.43 -25.33 21.88
9285710.00 125.18 68.65 92.96 31.81 -25.93 21.46
9357140.00 127.30 66.84 94.27 28.92 -25.90 18.07
9428570.00 129.33 64.88 95.61 27.58 -29.42 20.68
9500000.00 131.36 63.30 97.39 25.38 -22.34 24.15
9571430.00 132.83 61.49 98.70 26.97 -17.02 26.81
9642860.00 135.28 60.77 100.80 29.29 -13.68 24.79
9714290.00 137.20 59.55 102.53 29.05 -14.81 22.09
9785710.00 139.57 58.38 104.45 31.98 -18.22 25.00
9857140.00 142.15 57.43 106.50 36.10 -16.41 25.95
9928570.00 144.50 55.70 108.45 36.63 -17.43 30.03
10000000.00 147.04 54.65 110.45 38.21 -19.97 31.65
10071400.00 149.66 53.37 112.77 36.00 -21.95 31.72
10142900.00 151.97 51.77 114.91 31.21 -19.86 34.92
10214300.00 154.27 50.47 117.41 33.16 -17.87 32.46
10285700.00 156.39 49.02 119.60 33.26 -18.43 32.07
10357100.00 158.52 47.49 121.61 34.10 -16.90 29.99
10428600.00 160.52 45.91 123.23 33.93 -19.40 24.34
10500000.00 162.82 44.27 124.98 29.62 -26.50 20.37
10571400.00 165.35 42.20 126.48 32.40 -31.69 18.09
10642900.00 167.03 40.42 127.20 30.92 -31.06 17.10
10714300.00 169.31 38.47 128.45 29.30 -29.86 17.66
10785700.00 171.36 36.46 129.89 25.45 -23.52 18.38
10857100.00 173.10 35.34 131.18 26.33 -20.11 18.39
10928600.00 175.15 33.85 133.03 30.84 -17.15 24.19
11000000.00 177.52 32.54 135.03 32.18 -16.96 27.22
11071400.00 179.82 31.27 137.23 30.60 -20.37 26.89
11142900.00 181.97 29.61 139.01 29.74 -21.89 28.87
11214300.00 184.15 27.84 140.94 29.91 -22.40 28.91
11285700.00 186.56 25.95 143.06 29.25 -18.22 28.61
11357100.00 188.64 24.61 144.91 29.55 -22.59 27.82
11428600.00 190.74 23.63 146.60 31.49 -18.96 26.69
