#t x y z vx vy vz
0.00 -99.00 -120.00 -128.00 -28.00 174.00 93.00
0.10 -101.40 -102.16 -118.21 -20.06 182.77 102.72
0.20 -102.92 -83.44 -107.40 -10.20 191.75 113.63
0.30 -103.32 -63.82 -95.42 2.22 200.65 125.90
0.40 -102.30 -43.34 -82.14 18.11 208.92 139.70
0.50 -99.46 -22.12 -67.41 38.66 215.39 154.98
0.60 -94.27 -0.46 -51.10 65.21 217.88 171.12
0.70 -86.08 21.07 -33.23 98.44 212.63 186.21
0.80 -74.35 41.44 -14.11 136.32 194.86 196.21
0.90 -58.94 59.31 5.50 171.90 162.40 195.98
1.00 -40.53 73.46 24.45 196.22 120.66 183.07
1.10 -20.39 83.42 41.72 206.58 78.50 162.45
1.20 0.25 89.40 56.80 206.15 41.23 139.12
1.30 20.51 91.97 69.56 199.02 10.12 116.04
1.40 39.86 91.71 80.08 188.14 -15.41 94.41
1.50 58.03 89.12 88.53 175.23 -36.37 74.54
1.60 74.86 84.62 95.08 161.27 -53.66 56.36
1.70 90.26 78.53 99.88 146.79 -68.00 39.70
1.80 104.20 71.14 103.08 132.07 -79.93 24.39
1.90 116.67 62.65 104.82 117.27 -89.81 10.26
2.00 127.66 53.26 105.19 102.46 -97.94 -2.81
2.10 137.16 43.14 104.30 87.68 -104.48 -14.93
2.20 145.19 32.44 102.25 72.94 -109.58 -26.18
2.30 151.75 21.29 99.11 58.25 -113.31 -36.60
2.40 156.85 9.84 94.96 43.60 -115.73 -46.25
2.50 160.47 -1.79 89.89 28.95 -116.87 -55.15
2.60 162.64 -13.47 83.97 14.31 -116.72 -63.31
2.70 163.33 -25.07 77.27 -0.36 -115.27 -70.74
2.80 162.56 -36.45 69.86 -15.06 -112.49 -77.41
2.90 160.32 -47.49 61.82 -29.79 -108.32 -83.31
3.00 156.60 -58.04 53.24 -44.57 -102.68 -88.38
3.10 151.41 -67.95 44.19 -59.36 -95.49 -92.56
3.20 144.73 -77.06 34.78 -74.15 -86.62 -95.76
3.30 136.58 -85.19 25.10 -88.90 -75.93 -97.86
3.40 126.96 -92.15 15.27 -103.53 -63.25 -98.73
3.50 115.88 -97.73 5.42 -117.95 -48.35 -98.17
3.60 103.39 -101.69 -4.28 -132.03 -30.96 -95.89
3.70 89.51 -103.78 -13.65 -145.56 -10.79 -91.49
3.80 74.32 -103.69 -22.46 -158.24 12.56 -84.66
3.90 57.92 -101.08 -30.43 -169.63 39.60 -74.81
4.00 40.49 -95.55 -37.23 -179.02 70.96 -61.10
4.10 22.28 -86.64 -42.40 -185.16 107.35 -42.29
4.20 3.73 -73.80 -45.34 -185.77 149.43 -16.55
4.30 -14.38 -56.48 -45.23 -176.46 196.95 18.75
4.40 -30.66 -34.35 -40.98 -149.13 245.75 66.13
4.50 -42.79 -8.05 -31.56 -93.60 280.20 122.25
4.60 -48.35 19.68 -17.15 -17.65 274.47 166.02
4.70 -47.04 45.09 0.09 43.85 233.70 178.73
4.80 -40.91 66.11 17.50 78.81 186.61 169.52
4.90 -32.16 82.69 33.65 96.20 145.02 153.50
5.00 -22.16 95.44 48.12 103.89 109.91 135.90
5.10 -11.65 104.94 60.84 106.13 80.07 118.42
5.20 -1.09 111.65 71.83 105.09 54.17 101.49
5.30 9.26 115.92 81.16 101.88 31.19 85.14
5.40 19.21 117.99 88.88 97.14 10.37 69.23
5.50 28.62 118.07 95.02 91.20 -8.86 53.61
5.60 37.40 116.28 99.61 84.26 -26.89 38.13
5.70 45.43 112.74 102.65 76.42 -43.98 22.67
5.80 52.64 107.52 104.14 67.79 -60.28 7.15
5.90 58.95 100.72 104.08 58.41 -75.86 -8.49
6.00 64.28 92.39 102.43 48.21 -90.78 -24.38
6.10 68.54 82.59 99.18 36.98 -105.11 -40.75
6.20 71.61 71.39 94.24 24.31 -118.92 -57.90
6.30 73.30 58.83 87.53 9.60 -132.21 -76.28
6.40 73.38 44.98 78.90 -8.05 -144.78 -96.40
